,AGENCE,CODE RESPONSABLE,,,,,,,,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,,N AGENCE,N CODE RESP,,N° Prospect,Agence,Libellé Agence,
163245,102,21,1140604,0,,,,,163245,21730,DIJON,
163278,102,21,1140604,0,,,,,163278,41740,D.R./BLOIS,
163412,102,21,1140604,0,,,,,163412,49730,ANGERS,
163576,102,21,1140604,0,,,,,163576,54730,NANCY,
164072,102,21,1140604,0,,,,,164072,59730,LILLE,
164512,102,21,1140604,0,,,,,164512,38740,VIENNE,
164543,102,21,1140604,0,,,,,164543,87740,D.R./LIMOGES,
164556,102,21,1140604,0,,,,,164556,87740,D.R./LIMOGES,
164728,102,21,1140604,0,,,,,164728,80730,AMIENS,
164730,102,21,1140604,0,,,,,164730,54730,NANCY,
164940,102,21,1140604,0,,,,,164940,41740,D.R./BLOIS,
165021,102,21,1140604,0,,,,,165021,33740,D.R./BORDEAUX,
165589,102,21,1140604,0,,,,,165589,44730,NANTES,
165764,102,21,1140604,0,,,,,165764,54730,NANCY,
166138,102,21,1140604,0,,,,,166138,49730,ANGERS,
166152,102,21,1140604,0,,,,,166152,21730,DIJON,
166159,102,21,1140604,0,,,,,166159,01730,BOURG EN BRESSE,
166336,102,21,1140604,0,,,,,166336,54730,NANCY,
166537,102,21,1140604,0,,,,,166537,33740,D.R./BORDEAUX,
166846,102,21,1140604,0,,,,,166846,54730,NANCY,
166939,102,21,1140604,0,,,,,166939,35760,D.R./RENNES,
167147,102,21,1140604,0,,,,,167147,01730,BOURG EN BRESSE,
167529,102,21,1140604,0,,,,,167529,54730,NANCY,
167644,102,21,1140604,0,,,,,167644,63750,CLERMONT-FERRAND,
167677,102,21,1140604,0,,,,,167677,44730,NANTES,
167760,102,21,1140604,0,,,,,167760,49730,ANGERS,
168269,102,21,1140604,0,,,,,168269,21730,DIJON,
168388,102,21,1140604,0,,,,,168388,01730,BOURG EN BRESSE,
168414,102,21,1140604,0,,,,,168414,41720,BLOIS INTERIM,
168776,102,21,1140604,0,,,,,168776,54730,NANCY,
169127,102,21,1140604,0,,,,,169127,69730,LYON,
169214,102,21,1140604,0,,,,,169214,74790,ANNECY,
169342,102,21,1140604,0,,,,,169342,87730,LIMOGES,
169603,102,21,1140604,0,,,,,169603,21730,DIJON,
170001,102,21,1140604,0,,,,,170001,69730,LYON,
170063,102,21,1140604,0,,,,,170063,76750,D.R./ROUEN,
170211,102,21,1140604,0,,,,,170211,92730,PARIS,
170790,102,21,1140604,0,,,,,170790,86730,POITIERS,
170794,102,21,1140604,0,,,,,170794,44730,NANTES,
170894,102,21,1140604,0,,,,,170894,06730,NICE,
170899,102,21,1140604,0,,,,,170899,49730,ANGERS,
170990,102,21,1140604,0,,,,,170990,86730,POITIERS,
171095,102,21,1140604,0,,,,,171095,06730,NICE,
171865,102,21,1140604,0,,,,,171865,54730,NANCY,
171894,102,21,1140604,0,,,,,171894,01730,BOURG EN BRESSE,
172250,102,21,1140604,0,,,,,172250,35760,D.R./RENNES,
172411,102,21,1140604,0,,,,,172411,44730,NANTES,
172515,102,21,1140604,0,,,,,172515,87730,LIMOGES,
172543,102,21,1140604,0,,,,,172543,69730,LYON,
172751,102,21,1140604,0,,,,,172751,49730,ANGERS,
172780,102,21,1140604,0,,,,,172780,33740,D.R./BORDEAUX,
173009,102,21,1140604,0,,,,,173009,01730,BOURG EN BRESSE,
173271,102,21,1140604,0,,,,,173271,76750,D.R./ROUEN,
173496,102,21,1140604,0,,,,,173496,35760,D.R./RENNES,
173511,102,21,1140604,0,,,,,173511,87730,LIMOGES,
173553,102,21,1140604,0,,,,,173553,21730,DIJON,
173847,102,21,1140604,0,,,,,173847,35760,D.R./RENNES,
173967,102,21,1140604,0,,,,,173967,87740,D.R./LIMOGES,
173980,102,21,1140604,0,,,,,173980,49730,ANGERS,
174017,102,21,1140604,0,,,,,174017,35760,D.R./RENNES,
